airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0,n_points,max_camber,max_camber_loc,max_thickness,max_thickness_loc,le_thickness,te_thickness,camber_at_25,camber_area
e207,400000,1.2107,13.0,0.00803,95.63958916900091,7.0,0.3959,19,0.02504,0.386,0.12019,0.297,0.08659,0.02188,0.0228,0.01618
e210,400000,1.4881,13.0,0.00853,104.45267489711934,7.0,0.5469,21,0.04015,0.465,0.13636,0.317,0.09748,0.02395,0.03413,0.02889
e214,400000,1.4576,12.0,0.00806,113.2135523613963,5.0,0.8029,17,0.04028,0.525,0.11098,0.327,0.08048,0.01998,0.03281,0.02917
e220,400000,1.1474,14.0,0.00837,98.87677208287896,6.0,0.2422,21,0.02461,0.376,0.11459,0.337,0.08043,0.0223,0.02214,0.01377
e222,400000,1.2989,12.0,0.00829,95.8021712907117,4.0,0.0195,15,0.02518,0.505,0.10165,0.307,0.07723,0.01788,0.0201,0.01801
e228,400000,0.9704,10.0,0.00844,62.66045548654244,5.0,-0.4463,13,0.0028,0.317,0.10062,0.287,0.07658,0.01765,0.00271,0.00165
e392,400000,1.3844,13.0,0.00802,111.95939086294418,6.0,0.2318,18,0.03836,0.406,0.10148,0.317,0.07362,0.01424,0.03261,0.02576
e395,400000,1.5205,13.0,0.00898,125.34774436090228,6.0,0.7167,20,0.05245,0.525,0.12289,0.297,0.09251,0.01866,0.03849,0.03546
e398,400000,1.5641,10.0,0.00987,118.13953488372094,7.0,0.6912,20,0.05298,0.475,0.14159,0.297,0.10419,0.02004,0.0401,0.03564
e399,400000,1.556,10.0,0.00996,116.6199505358615,7.0,0.6853,21,0.05135,0.505,0.14833,0.297,0.10825,0.02071,0.03782,0.03459
fx60126,400000,1.5845,15.0,0.00836,98.13471502590674,6.0,0.5074,21,0.03563,0.564,0.1259,0.277,0.09707,0.01184,0.02586,0.02488
fx63137,400000,1.766,15.0,0.00928,112.81964436917868,4.0,0.9123,21,0.05968,0.535,0.13711,0.307,0.10347,0.01217,0.0474,0.04337
fx76mp140,400000,1.7143,15.0,0.01065,123.09973045822105,5.0,0.8625,21,0.0712,0.465,0.14104,0.337,0.10638,0.02074,0.05907,0.0487
goe225,400000,1.8827,13.0,0.01002,107.90521978021978,6.0,0.968,21,0.07621,0.495,0.12825,0.208,0.10773,0.02179,0.05807,0.05132
goe226,400000,1.9272,13.0,0.01082,103.44950213371266,5.0,0.9538,21,0.08074,0.495,0.13886,0.198,0.11592,0.0178,0.06381,0.05392
goe227,400000,1.854,11.0,0.01166,118.70615744349182,5.0,0.9778,18,0.07832,0.505,0.14581,0.248,0.11388,0.01803,0.05921,0.05237
goe228,400000,1.9194,14.0,0.01063,86.49309912170641,5.0,0.8892,21,0.07003,0.495,0.17853,0.297,0.1343,0.02694,0.05819,0.04921
goe535,400000,1.7451,15.0,0.01125,86.04771115409413,7.0,0.6492,19,0.05743,0.495,0.1605,0.267,0.13635,0.02102,0.04887,0.04044
mh42,400000,1.1234,11.0,0.00872,83.09633027522936,5.0,-0.156,13,0.01892,0.376,0.08932,0.287,0.06886,0.01324,0.0175,0.01183
mh43,400000,1.01,10.0,0.00865,81.75722543352602,5.0,-0.1714,13,0.01777,0.386,0.08489,0.287,0.06544,0.01127,0.01613,0.01096
mh44,400000,1.1883,12.0,0.00827,75.53513513513514,5.0,-0.2181,14,0.01537,0.366,0.09654,0.277,0.07572,0.01612,0.01456,0.00947
mh45,400000,1.252,13.0,0.0081,76.21197252208047,6.0,-0.1399,16,0.01706,0.327,0.09842,0.267,0.07856,0.01098,0.01632,0.01008
mh60,400000,1.2246,12.0,0.00811,77.71653543307086,6.0,-0.1311,16,0.01818,0.366,0.1008,0.277,0.07953,0.01159,0.01733,0.01087
mh61,400000,1.0264,11.0,0.00834,78.86694386694387,6.0,-0.2877,10,0.01514,0.366,0.10234,0.277,0.07518,0.0125,0.01378,0.00865
mh62,400000,1.1521,12.0,0.00898,75.49951503394762,6.0,-0.2303,13,0.01643,0.376,0.09288,0.277,0.07374,0.01076,0.01543,0.00997
mh78,400000,1.4519,15.0,0.00883,65.22129570237331,8.0,-0.0067,21,0.02681,0.168,0.14448,0.208,0.12546,0.01768,0.02454,0.01159
naca0010,400000,1.1245,12.0,0.00836,52.28991596638655,4.0,-0.4032,16,0.0,0.01,0.09998,0.297,0.07796,0.02413,0.0,0.0
naca0015,400000,1.2398,15.0,0.00831,62.36311239193084,7.0,-0.2093,18,0.0,0.01,0.14995,0.297,0.11694,0.03618,0.0,0.0
naca1408,400000,1.0503,10.0,0.0091,61.73626373626373,4.0,-0.2818,13,0.00998,0.406,0.07999,0.297,0.06241,0.0193,0.0086,0.00666
naca1412,400000,1.2974,15.0,0.00843,69.80295566502464,5.0,-0.2023,16,0.00998,0.406,0.11999,0.297,0.09359,0.02895,0.00862,0.00671
naca2408,400000,1.1755,10.0,0.00807,75.95238095238096,4.0,0.0188,11,0.01997,0.406,0.08001,0.297,0.06247,0.01933,0.0172,0.01332
naca2410,400000,1.3225,14.0,0.00849,81.33540372670807,5.0,-0.0864,15,0.01997,0.406,0.10002,0.297,0.07808,0.02416,0.01722,0.01336
